0,Bass_guitar,/m/018vs,Bas Gitar
1,Fire,/m/02_41,Ates
2,Coin_(dropping),/m/0242l,Bozuk Para
3,Squeak,/m/07q6cd_,Gozyasi
4,Hi-hat,/m/03qtq,Hi-hat
5,Dishes_and_pots_and_pans,/m/04brg2,Bulasiklar ve tencere ve tavalar
6,Walk_or_footsteps,/m/07pbtc8,Yürüme veya ayak sesleri
7,Fireworks,/m/0g6b5,Havai fisekler
8,Crash_cymbal,/m/0bm0k,Carpma zili
9,Engine,/m/02mk9,Motor
10,Rain,/m/06mb1,Yagmur
11,Slam,/m/07rjzl8,Vurus
12,Writing,/m/081rb,Yazma
13,Tearing,/m/07qcx4z,Gozyasi
14,Acoustic_guitar,/m/042v_gx,Akustik gitar
15,Wind,/m/03m9d0z,Ruzgar
16,Piano,/m/05r5c,Piyano
17,Clapping,/m/0l15bq,Alkis
18,Fart,/m/02_nn,Osuruk
19,Glass,/m/039jq,Cam
